kode,provinsi,tahun,kurang_40,41-50,51-60,61-70,lebih_70,meninggal
1,ACEH,2016,7.79276158,21.77922286,36.7571025,23.75139918,9.919513885,0.383774852
2,SUMATERA UTARA,2016,16,30,34,16,4,0
3,RIAU,2016,7.314290929,27.66928272,40.12137251,20.01277605,4.882277788,0.002235809
4,KEPULAUAN RIAU,2016,7.722007722,31.32928847,32.85530428,19.85659129,8.236808237,0.002390145
5,SUMATERA BARAT,2016,13.33333333,33.33333333,40,10,3.333333333,0
6,SUMATERA SELATAN,2016,30.76923077,23.07692308,23.07692308,15.38461538,7.692307692,0
7,JAMBI,2016,7.30123535,22.82229965,37.78904023,23.66170415,8.425720621,0.00443459
8,LAMPUNG,2016,7.956715468,23.5943136,37.5344791,23.64735837,7.267133461,0.001166985
9,BENGKULU,2016,0,50,50,0,0,0
10,BANGKA BELITUNG,2016,0,0,0,0,0,0
11,BANTEN,2016,12.74936253,28.9260537,36.83815809,16.70916454,4.777261137,0.001349933
12,DKI,2016,9.334146176,25.36069904,37.94621689,21.87902188,5.479916006,0.001354738
13,JAWA BARAT,2016,26.02739726,39.7260274,24.65753425,7.534246575,2.054794521,0
14,JAWA TENGAH,2016,22.22222222,59.25925926,11.11111111,7.407407407,0,0
15,DIY,2016,25,25,50,0,0,0
16,JAWA TIMUR,2016,22.85714286,42.85714286,20,14.28571429,0,0
17,BALI,2016,40,40,20,0,0,0
18,NUSA TENGGARA BARAT,2016,33.33333333,33.33333333,33.33333333,0,0,0
19,NUSA TENGGARA TIMUR,2016,50,50,0,0,0,0
20,KALIMANTAN SELATAN,2016,16.4756447,34.72421203,33.25573066,11.92096466,3.623447947,0.002148997
21,KLIMANTAN TENGAH,2016,17.98120729,35.26480638,29.62699317,12.95558087,4.171412301,0.002705011
22,KALIMANTAN BARAT,2016,7.565033551,25.25048258,38.05496829,21.75751448,7.372001103,0.002941447
23,KALIMANTAN TIMUR,2016,15.11044177,30.55555556,35.13219545,14.29049531,4.911311914,0.001422356
24,KALIMANTAN UTARA',2016,15.98566308,33.97849462,30.25089606,13.5483871,6.23655914,0.003584229
